model,question,best_answer,similarity
lemma_sg0_vs100_w2,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
lemma_sg0_vs100_w2,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,dört yil sonra,1.0
lemma_sg0_vs100_w2,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
lemma_sg0_vs100_w2,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,üç öğrenme modalitelerini de kapsayan öğretim yöntemleri,1.0
lemma_sg0_vs100_w2,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
lemma_sg0_vs100_w2,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
lemma_sg0_vs100_w2,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi patentler lisanslı olmalıdır,1.0
lemma_sg1_vs300_w4,Hangi R&B grubunda solisti?,şapel,1.0
lemma_sg1_vs300_w4,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
lemma_sg1_vs300_w4,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
lemma_sg1_vs300_w4,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
lemma_sg1_vs300_w4,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,sıfırlamadan sonra,1.0
lemma_sg1_vs300_w4,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
lemma_sg1_vs300_w4,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,institut universitaire de technologie,1.0
lemma_sg1_vs300_w4,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
lemma_sg1_vs300_w4,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
lemma_sg1_vs300_w4,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi patentler lisanslı olmalıdır,1.0
lemma_sg1_vs300_w2,Hangi R&B grubunda solisti?,vokal koçu,1.0
lemma_sg1_vs300_w2,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
lemma_sg1_vs300_w2,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
lemma_sg1_vs300_w2,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
lemma_sg1_vs300_w2,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,napoléon yıkılışından sonra,1.0
lemma_sg1_vs300_w2,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
lemma_sg1_vs300_w2,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,kuzeybatı geçidinin kaşif juan de fuca,1.0
lemma_sg1_vs300_w2,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
lemma_sg1_vs300_w2,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
lemma_sg1_vs300_w2,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi patentler lisanslı olmalıdır,1.0
lemma_sg1_vs100_w4,Hangi R&B grubunda solisti?,şapel,1.0
lemma_sg1_vs100_w4,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
lemma_sg1_vs100_w4,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
lemma_sg1_vs100_w4,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
lemma_sg1_vs100_w4,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,sıfırlamadan sonra,1.0
lemma_sg1_vs100_w4,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
lemma_sg1_vs100_w4,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,i ngiltere de okul çağındaki çocuklar için kurulan beş müzikal okullarından biri olan wells cathedral school,1.0
lemma_sg1_vs100_w4,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
lemma_sg1_vs100_w4,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
lemma_sg1_vs100_w4,Beyonce'nin çocukluk evi hangi dine inanıyordu?,godolphin evi jourdelay,1.0
lemma_sg1_vs100_w2,Hangi R&B grubunda solisti?,vokal koçu,1.0
lemma_sg1_vs100_w2,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
lemma_sg1_vs100_w2,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
lemma_sg1_vs100_w2,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
lemma_sg1_vs100_w2,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,sıfırlamadan sonra,1.0
lemma_sg1_vs100_w2,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
lemma_sg1_vs100_w2,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,kuzeybatı geçidinin kaşif juan de fuca,1.0
lemma_sg1_vs100_w2,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
lemma_sg1_vs100_w2,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
lemma_sg1_vs100_w2,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi patentler lisanslı olmalıdır,1.0
stem_sg0_vs300_w4,Hangi R&B grubunda solisti?,çalıyor,1.0
stem_sg0_vs300_w4,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
stem_sg0_vs300_w4,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
stem_sg0_vs300_w4,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
stem_sg0_vs300_w4,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,sonra 1800,1.0
stem_sg0_vs300_w4,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
stem_sg0_vs300_w4,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,üç öğrenme modalitelerini de kapsayan öğretim yöntemleri,1.0
stem_sg0_vs300_w4,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
stem_sg0_vs300_w4,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg0_vs300_w4,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi patentler lisanslı olmalıdır,1.0
stem_sg0_vs300_w2,Hangi R&B grubunda solisti?,opsiyonel akut aksan,1.0
stem_sg0_vs300_w2,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,michigan gölü bir göl dolgusu vasıtasıyla,1.0
stem_sg0_vs300_w2,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
stem_sg0_vs300_w2,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
stem_sg0_vs300_w2,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,dört yil sonra,1.0
stem_sg0_vs300_w2,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
stem_sg0_vs300_w2,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,üç öğrenme modalitelerini de kapsayan öğretim yöntemleri,1.0
stem_sg0_vs300_w2,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
stem_sg0_vs300_w2,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg0_vs300_w2,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi patentler lisanslı olmalıdır,1.0
stem_sg0_vs100_w4,Hangi R&B grubunda solisti?,firmware uygulamasındaki hatalar,1.0
stem_sg0_vs100_w4,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
stem_sg0_vs100_w4,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
stem_sg0_vs100_w4,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
stem_sg0_vs100_w4,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,sonra 1800,1.0
stem_sg0_vs100_w4,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
stem_sg0_vs100_w4,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,üç öğrenme modalitelerini de kapsayan öğretim yöntemleri,1.0
stem_sg0_vs100_w4,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
stem_sg0_vs100_w4,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg0_vs100_w4,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi patentler lisanslı olmalıdır,1.0
stem_sg0_vs100_w2,Hangi R&B grubunda solisti?,karbondioksit,1.0
stem_sg0_vs100_w2,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,immünoloji ilkelerinin bir arka planı,1.0
stem_sg0_vs100_w2,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
stem_sg0_vs100_w2,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
stem_sg0_vs100_w2,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,dört yil sonra,1.0
stem_sg0_vs100_w2,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
stem_sg0_vs100_w2,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,üç öğrenme modalitelerini de kapsayan öğretim yöntemleri,1.0
stem_sg0_vs100_w2,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
stem_sg0_vs100_w2,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg0_vs100_w2,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi patentler lisanslı olmalıdır,1.0
stem_sg1_vs300_w4,Hangi R&B grubunda solisti?,şapel,1.0
stem_sg1_vs300_w4,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
stem_sg1_vs300_w4,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
stem_sg1_vs300_w4,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
stem_sg1_vs300_w4,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,sıfırlamadan sonra,1.0
stem_sg1_vs300_w4,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
stem_sg1_vs300_w4,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,institut universitaire de technologie,1.0
stem_sg1_vs300_w4,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
stem_sg1_vs300_w4,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg1_vs300_w4,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg1_vs300_w2,Hangi R&B grubunda solisti?,vokal koçu,1.0
stem_sg1_vs300_w2,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
stem_sg1_vs300_w2,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
stem_sg1_vs300_w2,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
stem_sg1_vs300_w2,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,napoléon yıkılışından sonra,1.0
stem_sg1_vs300_w2,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
stem_sg1_vs300_w2,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,kuzeybatı geçidinin kaşif juan de fuca,1.0
stem_sg1_vs300_w2,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
stem_sg1_vs300_w2,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg1_vs300_w2,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi patentler lisanslı olmalıdır,1.0
stem_sg1_vs100_w4,Hangi R&B grubunda solisti?,izleyicili pencereler,1.0
stem_sg1_vs100_w4,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
stem_sg1_vs100_w4,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
stem_sg1_vs100_w4,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
stem_sg1_vs100_w4,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,sıfırlamadan sonra,1.0
stem_sg1_vs100_w4,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
stem_sg1_vs100_w4,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,institut universitaire de technologie,1.0
stem_sg1_vs100_w4,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
stem_sg1_vs100_w4,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg1_vs100_w4,Beyonce'nin çocukluk evi hangi dine inanıyordu?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg1_vs100_w2,Hangi R&B grubunda solisti?,laiklik,1.0
stem_sg1_vs100_w2,Hangi albüm onu dünyaca ünlü bir sanatçı yaptı?,ünlü bir heykeltıraş,1.0
stem_sg1_vs100_w2,Beyoncé'nin solo sanatçı olarak çıkardığı ilk albüm neydi?,birim testleri ilk olarak yazılır,1.0
stem_sg1_vs100_w2,Beyoncé'nin ilk solo albümünün adı neydi?,adı değiştirildi,1.0
stem_sg1_vs100_w2,Etta James'i hangi filmden sonra Beyonce Sasha Fierce'i yarattı?,sıfırlamadan sonra,1.0
stem_sg1_vs100_w2,Beyonce kendini nasıl feminist olarak tanımladı?,çiçekler gelişti tam olarak nasıl gösteren kanıt,1.0
stem_sg1_vs100_w2,Beyonce'nin küçük kardeşi de hangi grupta onunla şarkı söyledi?,kuzeybatı geçidinin kaşif juan de fuca,1.0
stem_sg1_vs100_w2,Beyonce adını nereden aldı?,latince prehensio dan geliyor ele geçirmek anlamına geliyor,1.0
stem_sg1_vs100_w2,Beyonce'nin babası hangi ırktı?,hangi unsurları gerçekleştirdikleri,1.0
stem_sg1_vs100_w2,Beyonce'nin çocukluk evi hangi dine inanıyordu?,kanal hangi ortam aracılığıyla,1.0
