stem_question,stem_answer
beyonce nin doğumdan ilk halk performansı neredeydi,revel atlantic city ovation hall
beyonce nin belgesel filminin adı neydi,hayat rüyadır
beyonce 2013 te imzalamıştı,global yayıncılık anlaşması
yarım zaman gösterimi dakika başına kaç tweet aldı,dakikada 268 000 tweet
başkan obama nın ikinci açılışında beyoncé söylerdi,amerikan ulusal marşı
beyoncé obama nın açılışından ay etkinliği gerçekleştirdi,super bowl xlvii yarı yarı gösterisi
beyoncé nin belgesel filminin adı nedir,hayat rüyadır
beyonce nin şimdiye kadarki en başarılı turlarından biri hangisiydi,bayan carter şovu
beyonce epic filmi şarkıyı yazdı,ayağa kalk
epic filminin kısmını seslendirdi,kraliçe tara
beyonce epic filmi şarkıyı kaydetti,ayağa kalk
15 nisan başladığı beyoncé nin turnesinin adı neydi,bayan carter show dünya turu
beyoncé mayıs 2014 te amy winehouse şarkısını kapsadı yayınladı,siyah geri dön
beyoncé 2013 ün fahri başkanıydı,gala tanıştım
filmdeki epic karakter beyoncé tarafından seslendirildi,kraliçe tara
yıl kazancı kadardı,kazançlarını iki katından fazla
beyoncé nin beşinci stüdyo albümündeki şarkıda kocasının yer aldığı,aşık sarhoş
hem beyoncé hem jay z nin bulunduğu turun adı neydi,koşu turu nda
beyonce 2015 in ağustos ayında kapağında dergi poz verdi,rağbet
dergide kapak mankeniydi,rağbet
beyoncé kapak dergi poz verdi onu ilk siyahi kadın sanatçı yaptı,rağbet
beyonce çevrimiçi müzik servisi formation şarkısını yayınladı,gelgit
beyonce nin yeni single ı super bowl dan piyasaya sürüldü,oluşumu
tekli yayınlandı,münhasıran
akış hizmetinin adı neydi,gelgit
beyoncé single formasyon u nerede serbest bıraktı,gelgit
beyonce çocuğunun düşük yapmasıyla başa çıkıyordu,yazdığı müzik
beyonce şarkılarından birini yaptıktan neyi doğruladı,hamileliğini
tarihin en izlenen yayın oldu,onun görünüşü
guinness dünya rekorları nda kaydedildi,saniyede en tweet
mtv ödülleri nde şarkıyı çalmıştı,üstte aşk
beyoncé hamileliğini duyurmadan şarkıyı söylerdi,üstte aşk
beyonce nin kızının adı neydi,mavi sarmaşık carter
b i c anlama geliyor,mavi sarmaşık carter
şarkıdaki çığlıkları yatırıldı,b i c
beyoncé jay z kızlarına isim verdi,mavi sarmaşık carter
glory nin sonunda neler bulunur,mavi sarmaşık çığlıkları
mavi sarmaşık glory ye yatırıldı,b i c
beyonce 2009 başkanlık açılışında şarkıyı söyledi,güzel amerika
temmuz 2013 te katıldılar,ralli
2009 cumhurbaşkanlığı açılışında söylerdi,güzel amerika
beyoncé 2009 obama nın açılışında şarkıyı seslendirdi,güzel amerika
beyonce dergi röportaj yaptı feminizm hakkında soruldu,rağbet
beyonce kızlarda liderliği teşvik eden kampanyayı destekledi,bossy kampanyası yasakla
beyonce nin günümüz feministi olduğu söylendiği yer nerelerdeydi,rağbet
2013 te konuşmaya yanıt şarkıyı yayınladı,kusursuz
beyonce 2015 te kiminle mektup imzaladı,tek kampanyası
kadınlar,almanya g7 başkanı
beyoncé 2015 te kimin mektup imzalamıştı,tek kampanyası
angela merkel mektupla ilgili yapıyordu,almanya g7 başkanı
eleştirmen beyonce nin sesini yönlü nitelendirdi,günlük posta
diğer eleştirmenler iddia ediyor,onun menzili gücünü övün
beyoncé destiny s child ın en önemli parçası biliniyor,onun vokal yetenekleri
beyonce nin yayınladığı i spanyol şarkıları içindi,b day in yeniden serbest bırakılması
jay z nin yeni temaları neydi,i nsan eğilimli marşlar
beyonce etkinlikte yılın pop şarkı yazarı ödülünü aldı,amerikan besteciler yazarlar yayıncılar topluluğu pop müzik ödülleri
beyonce 2011 billboard dergisinden listede iki kadına katıldı,en i yi 20 hot 100 şarkı yazarları
beyoncé 2001 onu ilk siyahi kadın yaparak kazandı,yılın şarkı yazarı ödülü
2001 yılında beyoncé ye yılın pop şarkı yazarı ödülünü verdi,amerikan besteciler yazarlar yayıncılar pop müzik ödülleri derneği
beyonce çocukken ilk michael jackson konserine gittiğinde kaç yaşındaydı,beş
mariah carey nin şarkısı onu etkiledi,aşk vizyonu
beyoncé nin çocukken çalıştırmasına olan şarkı neydi,aşk vizyonu
etta james onu etkiledi,cesurluk
beyoncé 2006 daki konserde josephine baker ı onurlandırmak şarkıyı söyledi,déjà vu
jay z yi tarif ediyor,devam eden ilham
beyoncé nin kariyerini kontrol altına alması ilham verdi,meryem ana
l a reid onu tarif etti,yaşayan en büyük şovmen
alice jones onu tarif ediyor,neredeyse fazla iyi
i kinci kişiliği beyonce a doğduğunda,yapımı crazy in love
beyonce sasha fierce ı etkinlik sırasında geri getirdi,revel sunar beyoncé live
sasha yı tarif ediyor,agresif güçlü
sasha hakkında dedi,onu geri getirecekti
sasha fierce şarkının yapımında yaratıldı,aşık çılgın
beyonce nin cinsel çekiciliği nitelendiriliyor,geniş menzilli
bootylicious beyonce nin çaldığı şarkıydı,kaderin çocuğu
beyoncé sahne dışında giyinmeyi sevdiğini söylüyor,cinselce
kompleks beyoncé yi unvanı verdi,zamanların en sıcak kadın şarkıcısı
müze balmumu beyoncé nin çeşitli modellerini yaptı,madame tussauds balmumu müzeleri
beyonce den afrikalı amerikalı kadın si mayo sayısında poz vermişti,tyra bankalar
beyonce nin annesinin kitabının adı neydi,kaderin tarzı
kapaktaki ikinci afrikalı amerikalı kimdi,tyra bankalar
beyoncé dergide mayo kapağı öne çıkan ikinci afrikalı amerikalı kadındı ilk oldu,tyra bankalar
dergi beyonce nin en iyi giyimli ünlü olduğunu söyledi,i nsanlar
beyonce nin hayran kitlesi adlandırılır,bey kovanı
beyonce nin hayran kitlesi,bey kovanı
beyoncé hayranlarını tanımlamak kullanılan son terim nedir,bey kovanı
beyonce ın diye bilinen kıyafet hattı,deréon hanedanlığı
peta 2006 beyonce yi eleştirdi,kürk giymek kullanmak
l officiel in kapağında giyinmişti,siyah yüz aşiret makyajında
beyoncé nin giyim çizgisi peta eleştirisini çekti,deréon hanedanlığı
ırk topluluğu beyonce ye eleştiri verdi,afro amerikalı
northeastern üniversitesi nden profesör ırkın beyonce nin eleştirileri ilişkili olduğu hakkında yazdı,emmett tutar
vogue istedi,doğal resimler kullanılabilir
açık ten rengine ek afrikalı amerikan topluluğunun parçası beyoncé yi eleştirdi,kostuming
2007 müzik profesörü eleştirinin ırkı içerdiğine inandığını söyledi,emmett tutar
on yılın sanatçısı beyonce a dergiden bahşedildi,muhafız
muhafız ona isim verdi,on yılın sanatçısı
on yılın sanatçısı beyoncé adlı yayın hangisi,muhafız
rock grubu üçüncü albümünde beyonce yi göstermişti,beyaz tavşanlar
grup beyonce yi son albümlerinde ilham kaynağı listelemiş,beyaz tavşanlar
paltrow film beyonce yi okuyordu,ülke güçlü
indie grubu beyoncé nin hteir albümlerinden biri ilham kaynağı olduğunu söyledi,beyaz tavşanlar
white rabbits ın albümünün adı neydi,süt ünlü
gwyneth paltrow un müzisyen oynadığı filmin adı neydi,ülke güçlü
vh1 şarkıyı ilan etti 2000 lerin en büyük şarkısı,aşık çılgın
beyonce nin şarkılarından hangisinin adı 2000 lerin en i yi şarkısı idi,aşık çılgın
crazy in love kaç grammy ödülü aldı,i grammy ödülleri
crazy in love kaç kopya sattı,yaklaşık 8 milyon kopya
yayın crazy in love un zamanların en iyi 500 şarkılarından biri olduğunu düşünüyor,haddeleme taşı
beyoncé dünya çapında kaç plak sattı,118 milyonun üzerinde
beyonce kadın tarafından gecede kaç galibiyet rekorunu elinde tutuyor,altı
beyonce nin kaç grammy adaylığı,52 adaylıklar
beyoncé şarkısı 2010 yılın şarkısıydı,bekar bayanlar yüzük takın
2012 yılında 50 milyon dolara yapmayı kabul etti,pepsi yi desteklemektedir
beyonce nin ilk parfümün adı neydi,isı
beyonce nin 2010 parfümünün adı neydi,isı
heat in kaç sürümü piyasaya sürüldü,altı baskı
beyoncé 2007 emporio armani kokusunu tanıtmıştı,elmaslar
beyonce nin ilk parfümün adı neydi,isı
beyonce iptal edilen video oyununun adı neydi,yıldız gücü beyoncé
takım elbise yerleşti,mahkeme dışında
video oyununun adı neydi,yıldız gücü beyoncé
beyonce video oyunundan geri döndü,yıldız gücü beyoncé
anlaşmazlık zaman mahkeme dışında çözüldü,haziran 2013
beraber anlaşmalarından beyonce s topshop yeni iş deniyordu,parkwood topshop atletik ltd
parkwood topshop athletic ltd tür kıyafetler üretiyor,activewear
şirket ürünler zaman mağazalarda olmak ayarlandı,2015 sonbaharı
beyoncé nin yönetim şirketinin adı nedir,parkwood eğlence
ortaklık nedeniyle topshop un yeni bölümü neydi,activewear
beyoncé müzik akış sisteminin parçası,gelgit
dereon evi beyonce aracılığıyla tanındı beyonce nin akrabalarından hangisi,annesi
beyonce nin ailesinin şirket adı,prodüksiyonların ötesinde
beyonce nin giyim hattı tarafından tür giysiler satılıyor,spor giyim kürklü denim teklifleri dış giyim çanta ayakkabı dahil aksesuarlar
kıyafet hattını başlatmak beyonce ortaklık yaptı dereon,annesi
kıyafet hattındaki eşyalar nerede sergileniyordu,içinde destiny s child s şovları turları
beyoncé deréon house moda çizgisi tanıtımını paylaşıyor,annesi
beyonce nin moda divası yaptı,deréon evi koleksiyonu
beyoncé 2005 te modaya ayakkabı eklemek şirketle araya geldi,markalar evi
beyoncé modası olan 2008 yılında starwave mobile tarafından ortaya konan oyunun adı neydi,beyoncé moda diva
beyoncé i ngiliz ortaklığı tür kıyafetler satıyor,activewear
vakıf son yıllarda değişti,diğer kurumları çalışmak genişletilmiş
beyonce yerde kozmetoloji merkezi açtı,brooklyn anka evi
usame bin ladin in ölümünden beyonce şarkıya baktı,tanrı abd yi korusun
üzerinde beyonce nin resmi olan tişört yaptı,1 milyon dolar
beyonce annesi 5 mart 2010 girişime başladılar,brooklyn phoenix evi nde beyoncé kozmetoloji merkezi
sadaka şarkının serbest bırakılmasından yararlandı god bless the usa,new york polis i tfaiye dulları çocuk yardım fonu
george clooney iştirak etti,haiti ye umut küresel fayda
usame bin ladin öldürüldükten beyoncé lee greenwood şarkısını söyledi,tanrı abd yi korusun
ulusal olay beyonce nin talep plan yapmasına oldu,sandy hook i lkokulu nda çekim
beyonce kampanyaya şarkıyı kattı,buradaydım
beyonce gıda bağışı kampanyasına katkıda bulunuyor,yemeği kaçırın
beyonce hediyesinin insanda en iyi nitelikleri bulmak olduğunu söylediğinde kimden bahsediyordu,annesi
talep plan video kampanyası trajik olay izledi,sandy hook i lkokulu nun vurulması
değişim gucci çanı kampanyasının odak noktası neydi,yayılmış kadın güçlendirme
konserde crowdfunding platformu kullanıldı,mancınık
beyoncé diğerlerinin silah kontrolünü ele alan kampanyanın adı nedir,plan talep edilin
okul çekim talep a planı oluşturulmasını istenir,sandy hook i lköğretim okulu
beyoncé 2012 dünya i nsani yardım günü kampanyasına şarkıyı bağışladı,buradaydım
frédéric in ulusları neydi,lehçe fransızca
frédéric öncelikle enstrüman yazdı,solo piyano
çoğunlukla enstrüman besteledi,solo piyano
chopin in kompozisyonlarının çoğunluğu enstrüman içindi,solo piyano
frédéric in performans stilini işaretleyip onları benzersiz kılan özellikler nelerdir,nüans duyarlılık
chopin in performanslarının bilindiği iki nedir,nüans duyarlılık
chopin in performansları biliniyordu,nüans duyarlılık
neyle doğrudan olmayan ilişkisi vardı,siyasi ayaklanma
chopin dolaylı neyle akrabaydı,siyasi ayaklanma
frédéric varşova dayken ailesiyle nerede yaşıyordu,saray gerekçesiyle
frédéric in babası süre zarfında aletleri çalıyordu,flüt keman
chopin in babası enstrümanları çalıyordu,flüt keman
chopin in babası aletleri çalıyordu,flüt keman
frédéric tarafından bestelenen en eski müzik notasyonu nedir,1821 yılında a flat majör polonaise
chopin yıllarda żywny den talimat aldı,1816 1821
frédéric yıllarda varşova lisesi ni ders almak ziyaret etti,1823 1826
çar alexander ı chopin e verdim,elmas yüzük
ticari başarılı ilk çalışmasının başlığı nedir,rondo operasyonu 1
frédéric szafarnia kaldığı süre boyunca kime mektup yazdı,onun ailesi
frédéric mektuplarında parodileri yazmış,kategori varşova gazeteleri
chopin ailesinin işi neydi,erkek öğrenciler yatılı ev
chopin in eserlerinden hangisi bilmeden gladkowska adanmıştı,piyano konçertosu no 1 e minör
şarkı söyleyen kadın öğrenci chopin in aşık olduğu largetto nun müzikal parçasına adanmış,piyano konçertosu no 1 e minör
ailesinin yatılı evinden kaç tane yatılı chopin yakın arkadaş oldu,dört
frédéric özellikle prens prensin kızı wanda parçayı yarattı,giriş çello piyano c majör polonaise brillante op 3
chopin prens antoni parçayı yarattı,giriş çello piyano c majör polonaise brillante op 3
niccolò paganini nin keman üzerinde çaldığını duyduktan frédéric besteledi,hatıra paganini
frédéric süre zarfında viyana kaç piyano konseri yaptı,iki
chopin niccolo paganini yi dinledikten besteledi,hatıra paganini
chopin varşova döndükten parçayı başlattı,piyano konçertosu no 2 f minör op 21
eleştirmenler chopin in hassas olduğunu söyledi,yerel sanatçıların piyano dayak alışkın
chopin eğitimini tamamladıktan ilk çıkışını yaptığı yerde kaç kamu performansı yaptı,iki
onun beste performansları nedeniyle chopin coğrafi bölge açıldı,batı avrupa
chopin in arkadaşına tek başına ev hasreti çekerken yazdığı kelimeler neydi,ayrılışımın anını lanetliyorum
chopin paris e zaman ulaştı,eylül 1831
polonya geri dönmeyince chopin neyin parçası oldu,kategori büyük göç
ayaklanmadan polonya nın gurbetçi sayısı nedeniyle bilinmeye başladı,kategori büyük göç
frédéric eserlerinden büyük gelir elde etmeden finansal kime güveniyordu,babası
chopin konser vermeyi bıraktıktan gelirini elde etti,eserlerinin yayınlanması zengin öğrencilere piyano öğretilmesi
frédéric in en sevdiği ortam hangisiydi,arkadaş küçük gruplar paris daire
23 mart 1833 te performansta frédéric enstrümanı çalıyordu,piyanolar
chopin insanlar oynamayı nerede tercih etti,apartman
frédéric mendelssohn hiller düsseldorf ta gün ziyaret ederken iki aktivite yaptı,müzik çalma tartışma
chopin felix mendelssohn la nerede tanıştı,aşağı ren müzik festivali
friedrich wilhelm schadow un pozisyonu neydi,sanat akademisi direktörü
liszt chopin e yakın yaşarken evi nereden aradı,rue lafitte üzerinde hôtel france
frédéric liszt arasındaki ilişkinin niteliklerini terim açıklar,aşk nefret i lişkisi
liszt in üç özelliği frédéric i büyülediği belirtilmiştir,tiyatro şovmenlik başarı
frédéric liszt i 1848 e yazdığı mektuplarda ona atıfta bulunduğunda tanıttı,arkadaşım liszt
chopin in maria wodzińska başarısız olabilmesi olası sebep neydi,onun kötü sağlık
frédéric in paris e dönüşünde olay yaşandı,sand yaptığı dernek ciddi başladı
sands chopin in evlenmemiş olduğu bilindikten nerede barınak tuttular,eski carthusian manastırı
chopin sand valldemossa nerede kaldılar,eski carthusian manastırı
chopin mayorka teslim edilirken zorlanmıştı,onun pleyel piyano
26 temmuz 1840 ta chopin sand etkinlikti,berlioz un grande senfonisi funèbre et triomphale
chopin adolphe nourrit in cenazesinde parçayı çalıyordu,franz schubert in yalan söylediği die gestirne
chopin cenazede çalmıştı,franz schubert die gestirne i yalanladı
kıyafet provası içindi,berlioz un grande senfonisi funèbre et triomphale
nohant ta sakin yazlarda frédéric tarafından üretilen çalışmanın örneği nedir,a flat majör polonaise op 53
chopin pauline viardot a konuda yardım etti,piyano tekniği kompozisyonu
nohant teyken chopin e iki ziyaretçi kimdi,delacroix mezzo soprano pauline viardot
chopin artan hasta sağlığı nedeniyle performansı düşmeye zorladı,erard ın beethoven yedinci senfoni düzenlemesi
sand in chopin in ilgisizlik gösterdiği ilgi neydi,radikal politik takipçileri
sand in chopin le olan durumuyla ilgili yayınladığı romanının adı neydi,lucrezia florianópolis
sand 1847 romanı yazmıştı,lucrezia florianópolis
ana karakterler sand chopin yorumlanabilir sand kitabının adı neydi,lucrezia florianópolis
miktar az olmasına rağmen diğer yıllarda yaptığı çalışmalara kıyasla eserler hakkında söylenebilir,onun önceki kompozisyonların çoğundan rafine
bbc nin yayınladığı belgeselin adı neydi,müziğin arkasındaki kadınlar
bbc tarafından yayınlanan belgeselin adı neydi,chopin müzik arkasındaki kadınlar
chopin hakkında yayınlanan 1945 filminin adı neydi,hatırlanacak şarkı
1945 filmi chopin sand arasındaki ilişkinin kurgusal muhasebesiydi,hatırlanacak şarkı
polonya edebiyatında chopin in en erken görülmesi nedir,leon ulrich tarafından chopin üzerinde sonnet
chopin kayda değer chopin kayıtları grand prix du disque f,varşova chopin topluluğu
chopin in çalışmalarının bilinen en eski kaydının adı nedir,e majör op 62 no 2 nocturne
jane stirling in ulusal mirası neydi,i skoçyalı
chopin in halka açık son performansı neredeydi,londra guildhall
chopin ölümünden kesilmesini istedi,canlı gömülme korkusu
chopin acı çektiği sorulduğunda doktora cevap verdi,
chopin öldüğünde cesedinin açılmasını istedi,canlı gömülme korkusu
solange ın kocası chopin in ölümünden saatler ölüm maskesiyle birlikte yaptı,sol elinin döküm
chopin in ölümünün diğer olasılıkları arasında siroz alfa 1 antitripsin eksikliği,kistik fibrozis
mezarında çalındı,chopin in piyano sonatı no 2 den cenaze yürüyüşü
chopin in mezarında çalındı,chopin in piyano sonatı no 2 den cenaze yürüyüşü
sand den chopin e olan 200 mektubu buldu,kum
chopin in eserlerinden kaçı hala,230 üzerinde
kaç tane chopin parçanın hayatta kaldığı biliniyor,230 üzerinde
chopin in eserlerinden birkaçı piyano konçertosu şarkılar dahil,oda müziği
yeni tür di john field icat,gece turne
chopin çağın modern dansına ekledi,melodi ifade geniş aralığı
chopin in dans müziği resitaller balo salonlarından yazılmıştır,valsler
chopin in gerçek başlık verdiği tek parça nedir,cenaze yürüyüşü
op 64 no 1 verilen açıklayıcı isim neydi,dakika vals
rosen chopin in eşsizliğinin merkezi kısmının neyi ele aldığı olduğunu söylüyor,dört çubuktaki cümle
rosen chopin kişiliğinin önemli olduğunu öne sürmüştü,yapısal birim dört çubuk ifade onun esnek kullanım
j barrie jones chopin in konser parçalarının en üstün olduğunu düşünüyor,dört baladlar dört scherzos
chopin in mazurkası diğer bestelerinden fazlasını içeriyor,halk özellikleri
chopin in mazurkası valsleri formda,basit üçlü epizodik form bazen coda
chopin operasyonu 63 no 3 nadirdir,atışta top
chopin in polonaislerinin tür çalma tekniğine ihtiyacı vardı,ürkütücü
chopin in gece turnesinin ortasında dramalarını arttıran nedir,ajite ifade
chopin tekniğini öğretmek parçalarını kullandı,études
chopin in elaltüdlerinin çoğu formda,basit üçlü
chopin sık sık piyano tekniğini yazdığı müziği kullanarak öğretti,études
chopin preludes parça bach ın ilham aldı,i yi temperli clavier
chopin in preludes ilham kaynağı,j s bach ın iyi huylu clavier i
kenneth hamilton önlülerin grup ifade edildiğini öne sürüyor,onun parçalarının başkalarına jenerik başlangıcı
kişi chopin in neyle etkilendiği düşünüldü,milli modlar deyimler
chopin kaçınmaya meyilliydi,sert prosedürler
chopin e yanlış yatırılan nedir,zaman yüksek nota kreşendo
chopin öğrencinin konserlerde vazgeçtiğini söyledi,onları sanat en güzel işitme
rubato anlama geliyor,sıkı zaman dikkate alınmazca performans uygulama
chopin neye müzik tanıtmak kaydedildi,milliyetçilik anlayışı
schumann polonyalıların yas tuttuklarını söyledi,kasım 1830 başarısızlığı
schumann chopin in müziğini toplar nitelendirdi neye gömülü,çiçekler
george golos chopin in milliyetçiliğinin abartıldığını iddia ederken iki müzisyenden bahsediyor,michał kleofas ogiński franciszek lessel
modern yorumcu william atwood polonyalıların chopin in müziğinde teselli aradığını aynı zamanda uğruna savaşmaya devam ederken onlara güç kaynağı bulduğunu düşünüyor,bağımsızlık
arthur hutchings chopin in onu özel yapan şeyin eksikliğinin olduğunu söyledi,byronik flamboyance
chopin in eserinin parçası schumann a ithaf edildi,ballade no 2 f majör
chopin parçayı schumann a ithaf etti,ballade no 2 f majör
yongle i mparatoru kiminle dini ittifak kurmaya çalıştı,deshin şekpa
deshin shekpa okulun başındaydı,karma kagyu okulu
hanedanın kuzey düşman devletlerine karşı endişe duyduğunu,kategori şarkı hanedanı
çin i hanedan yönetti,yuan hanedanı
khubilai süre iddia etti,evrensel kural
sakya vekillik rejiminin otorite pozisyonunu yerleştirdi,tibet teki moğollar
sakya vekili rejimini ortadan kaldırdı,phagmodru sayısız tai situ changchub gyaltsen
hongwu i mparatoru neyi terfi ettirmeye devam etmek istiyordu,tibet çin arasındaki budist bağlantı
van praag ın inançlarını destekledi,tarihçi tsepon w d shakabpa
ming fermanları yayınlamıştı,emperyal fermanları
hindistan yeni zelanda yı kolonize etti,britanya
columbia ansiklopedisi yuan hanedanını tanımlıyor,çin in moğol hanedanı
thomas laird yuan hanedanlığını reddetti,çinli olmayan polite
yuan hanedanı zaman başladı sona erdi,1271 1368
yuan sırasında çin tibet arasında vardı,lisanslı sınır piyasası
tibet in en bölgesini yönetiyordu,ming hanedanı ü tsang komuta bürosu
ming imparatorları kime davetiye gönderdiler,i ktidar lamas
batı bölgeleri neyden oluşuyordu,tarım havzası turpan vahası
lok hamchan changchub gyaltsen in neyi çıkarmak istediğini iddia etti,moğol suzerainty izleri
imparatora ikinci phagmodru hükümdarı resmi unvan verilmesini önerdi,hezhou nın ming subayı
i mparatora dbus gtsang daki durumun kontrol altında olduğunu söyledi,hezhou nın ming subayı
ming kime unvanlar atadı,doğu tibet prensleri
ming tibet ten ayrıldıklarında moğolların yerine göndermedi,ordu
yongle i mparatoru yang sanbao yu tibet e gönderdi,çeşitli tibet prenslerinin bağlılık
i mparator hediye küçük servet ödedi,komşu köle devletlerin sadakatini korumak
gelug hediye alışverişi kiminle yaptı,ming mahkemesi
hou xian zhi guang karmapa giderken nereye gittiler,qinghai aracılığıyla khotan i pek yolu üzerinden
nanjing deshin shekpa unvan verildi,dharma büyük hazine prensi
yongle i mparator planları söylendi,tibet e askeri kuvvet göndermek
norbu ming tibet ilişkisinin dini yönünün önemini fark edemedi,kategori çinli komünist tarihçiler
zhengtong i mparatorunun fermanını tutar,prc devlet konseyi bilgi ofisi
onlara zhengtong tarafından mesaj iletti,dharma büyük hazine prensi
fermanı zaman yazmış,ikinci ajanı ming mahkemesine kutsal emanetler getirdikten
yongle inşaatı emretti,tibet ticareti kolaylaştırmak
ticaret rotası nereden geçti,sichuan aracılığıyla yunnan shangri la county geçti
van praag ming mahkemesinin tibet le diplomatik heyet kurduğuna inanıyor,acilen gerekli atları güvence altına almak
tibet pazarına dükkanlar yiyecek verildi,i pek atölyeleri
wang nyima atların tibet ten tür vergi toplandığına inanıyordu,zorunlu corvée vergisi
