model,text,similarity
stem_sg0_vs300_w2,konuşma dili kaba ifadeler,0.9519103566174595
stem_sg0_vs300_w2,makine dili,0.9500671475196509
stem_sg0_vs300_w2,biçimsel ifadeler yazı dili,0.9472210461272013
stem_sg0_vs300_w2,dans dili,0.9138113636070307
stem_sg0_vs100_w4,makine dili,0.9639926118256491
stem_sg0_vs100_w4,substrat dili,0.9638782331626015
stem_sg0_vs100_w4,konuşma dili kaba ifadeler,0.9539288810483992
stem_sg0_vs100_w4,biçimsel ifadeler yazı dili,0.933417115536993
stem_sg0_vs100_w4,romantizm dili,0.9096960669116241
stem_sg0_vs100_w2,substrat dili,0.9729471660523266
stem_sg0_vs100_w2,konuşma dili kaba ifadeler,0.9491927109322897
stem_sg0_vs100_w2,makine dili,0.9461520854130847
stem_sg0_vs100_w2,biçimsel ifadeler yazı dili,0.9390828382333416
stem_sg0_vs100_w2,dans dili,0.9161360330490979
stem_sg1_vs300_w4,substrat dili,0.9206000386182246
stem_sg1_vs300_w4,makine dili,0.8878925700832256
stem_sg1_vs300_w4,biçimsel ifadeler yazı dili,0.8790779147811083
stem_sg1_vs300_w4,konuşma dili kaba ifadeler,0.8573879836443131
stem_sg1_vs300_w4,bilgisayarın montaj dili bilinir,0.836432477175816
stem_sg1_vs300_w2,substrat dili,0.9459452688758218
stem_sg1_vs300_w2,konuşma dili kaba ifadeler,0.9151044800710819
stem_sg1_vs300_w2,makine dili,0.9149012988427724
stem_sg1_vs300_w2,biçimsel ifadeler yazı dili,0.9128034200916975
stem_sg1_vs300_w2,romantizm dili,0.8772780493228779
stem_sg1_vs100_w4,substrat dili,0.9218492238083316
stem_sg1_vs100_w4,biçimsel ifadeler yazı dili,0.9008388672521529
stem_sg1_vs100_w4,makine dili,0.895900632419689
stem_sg1_vs100_w4,konuşma dili kaba ifadeler,0.8664579257125886
stem_sg1_vs100_w4,bilgisayarın montaj dili bilinir,0.8482392672508299
stem_sg1_vs100_w2,substrat dili,0.9453843417163313
stem_sg1_vs100_w2,konuşma dili kaba ifadeler,0.9254088633762007
stem_sg1_vs100_w2,biçimsel ifadeler yazı dili,0.9236193359851476
stem_sg1_vs100_w2,makine dili,0.9212394941931629
stem_sg1_vs100_w2,romantizm dili,0.8964475383246687
